UNSORTED,SWAPS,COMPARISONS
16524081,99994,704982704
22165619,99986,704982704
24858650,99986,704982704
24691978,99992,704982704
25001167,99986,704982704
24228357,99980,704982704
24770851,99982,704982704
15806609,99984,704982704
13663312,99983,704982704
14899839,99988,704982704
AVERAGE,UNSORTED,206610463
SORTED,SWAPS,COMAPARISONS
15475036,0,704982704
24819729,0,704982704
24976281,0,704982704
25014014,0,704982704
16678631,0,704982704
24902495,0,704982704
24846038,0,704982704
12480457,0,704982704
21929798,0,704982704
13015144,0,704982704
AVERAGE,SORTED,204137623
